Name,Weight
Alternatives,0.006060612793688383
BroadAsia,0.00606060917997837
Commodity,0.0060608600963000525
ConsumerDiscretionaryEquity,0.006060609739915031
ConsumerStaplesEquity,0.0060606096306024555
CrudeOil,0.0060606102461499495
Currency,0.22699807967270955
DevelopedAsiaPacific,0.006060610016040435
DevelopedEurope,0.006060609597340017
DevelopedMarket1,0.006060610762676479
DevelopedMarket2,0.006060610681883841
DevelopedMarket3,0.045032765058778346
EmergingAsiaPacific,0.006060612339092573
EmergingMarkets,0.006060621552038062
EnergyEquity,0.00606060917468783
FinancialsEquity,0.04502818614474126
Global,0.00606062016883799
Gold,0.007080748030791539
HealthcareEquity,0.006060609905720831
IndustrialsEquity,0.05275373953654322
InvestmentGradeCorporate,0.0060606151898320035
Junk,0.006060620201834454
MaterialsEquity,0.00606064135316163
MunicipalBond,0.006060615097854167
PreferredStock,0.006060611509150171
RealEstate,0.006060610272769581
TargetMaturityDateCorporateBond,0.006060613512189463
TechnologyEquity,0.10590408297666289
TelecomEquity,0.006060609190836652
TotalBondMarket,0.006060615595690932
Treasuries,0.0060606194617297635
UtilitiesEquity,0.35962619338126856
Volatility,0.006060607928503627
